ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial
Podiceps grisegena,137183,exact,Podiceps grisegena,accepted,137183,Podiceps grisegena,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,,grisegena,,1,,,1
Podiceps nigricollis,137184,exact,Podiceps nigricollis,accepted,137184,Podiceps nigricollis,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,,nigricollis,,1,,,1
Polysticta stelleri,232041,exact,Polysticta stelleri,accepted,232041,Polysticta stelleri,Animalia,Chordata,Aves,Anseriformes,Anatidae,Polysticta,,stelleri,,1,,,1
Pterodroma deserta,759338,exact,Pterodroma deserta,accepted,759338,Pterodroma deserta,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,,deserta,,1,,,1
Pterodroma madeira,137198,exact,Pterodroma madeira,accepted,137198,Pterodroma madeira,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,,madeira,,1,,,1
Puffinus gravis,137201,exact,Puffinus gravis,accepted,137201,Puffinus gravis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,,gravis,,1,,,1
Puffinus griseus,137202,exact,Puffinus griseus,accepted,137202,Puffinus griseus,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,,griseus,,1,,,1
Puffinus lherminieri,212633,exact,Puffinus lherminieri,accepted,212633,Puffinus lherminieri,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,,lherminieri,,1,,,1
Puffinus mauretanicus,445503,exact,Puffinus mauretanicus,accepted,445503,Puffinus mauretanicus,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,,mauretanicus,,1,,,1
Puffinus puffinus,137203,exact,Puffinus puffinus,accepted,137203,Puffinus puffinus,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,,puffinus,,1,,,1
Puffinus yelkouan,137204,exact,Puffinus yelkouan,accepted,137204,Puffinus yelkouan,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,,yelkouan,,1,,,1
